Kiswahili,Kikuyu
Mwenyezi-Mungu akafurahishwa na yeye akamfanya mwadilifu .,MWATHANI agĩkenio nĩ we na akĩmũtua mũthingu .
kwa sababu ilitolewa Mwenyezi-Mungu kwa njia ya kuchomwa .,tondũ kĩrutĩirwo MWATHANI na ũndũ wa gũcinwo .
hadi waone Mwana wa mwanadamu akija akiwa ufalmeni wake . ,nginya mambe mone Muru wa mundu agiuka ari Uthamaki-ini wake . 
kufurahi ni wale wenye huruma kwa kuwa watasikiliwa huruma,gukenari ni aria mari tha ni gukoruo ni makaiguiruo tha
acha itendeke kuwa msichana ambaye atakakuja kuteka maji ,reke gũtuĩke atĩ mũirĩĩtu ũrĩa ũgũũka gũtaha maaĩ 
nikubariki  nikiwa mbele ya Mwenyezi-Mungu  kabla sijafa,ngũraathime  ndĩ mbere ya MWATHANI  itanakua
mtu alikua na ukoma akaja kwake akamwinamia  akamwambia ,mundu wari na mangu angiuka hari we akimuinamirira  akimwira 
na utoe sadaka kulingana na vile torati za Musa imeamuru ,na urute igongona kuringana na uria watho wa Musa wathanite 
na nikimwambia mtummishi wangu  ' Fanya hivi ! ye hufanya,na ingira ngombo yakwa'Ika uu! ni ikaga
na kipimo kile hupimia watu nacho  ndicho mtapiwa nacho .,na githimi kiria muthimanagira andu nakionikio marimuthimagira nakio .
na akamchukua Mariamu akampeleka nyumbani akiwa mke wake .,na akioya Mariamu akimutwara mucii ari mutumia wake .
Kwa sababu tuliona nyota yake tukiwa upande wa Mashariki ,Tondu ni twonire njata yake turi mwena wa Irathiro 
Ishmaeli akifa alikua na miaka mia moja thelathini na saba,Ishumaeli agĩkua aarĩ wa mĩaka igana na mĩrongo ĩtatũ na mũgwanja
tukubalie twende tuingie ndani ya kundi lili la nguruwe . ,twitikirie tuthii tuingire thiini wa ruuru ruuria rwa ngurue . 
Chakula kile kilipikwa na mama yetu kilikuwa kitamu sana .,Irio iria cia rugiruo ni mami witu ciari na cama muno .
Aliyeitwa kula nyama hapotezi masaa akitafuta nguo nzuri .,Wititwo kuria nyama ndateaga mathaa agietha nguo njega .
Lakini msile nyama yenye damu  kwani uhai uko katika damu,Kĩrĩa mũtarĩrĩaga no nyama ĩ na thakame  amu muoyo ũrĩ thakameinĩ
au hata Jerusalemu kwa maana ndilo mji la mfalme yule mkuu,o na kana jerusalemu tondu nirio ituura ria muthamaki uria munene
Abrahamu mwenyewe ndiye aliyesema kuwa huyu ni dada yake ,Aburahamu we mwene ti we wanjĩĩrire atĩ mũtumia ũyũ nĩ mwarĩ wa nyina 
“ Nimepata mtoto wa kiume kwa msaada wa Mwenyezi-Mungu . ”, Nĩngĩĩte na kaana ga kahĩĩ na ũndũ wa gũteithio nĩ MWATHANI . ”
nakwambia kwamba wewe utakufa pamoja na watu wako wote . ”,ngũkwĩra atĩ wee nĩũgũkua hamwe na andũ aaku oothe . ”
Na wakati Yesu alikuwa akipita karibu na ziwa la Galilaya ,Na riria Jesu aathiagari hakuhi na Iria ria Galili 
Nilimleta kwa wanafunzi wako  lakini hawakuweza kumponya .,Ngumurehete kuri arutwo aku no matinahota kumuhonia .
 Nakusihi wacha nizungumze tena mara moja tu na usikasirike,“ Ndagũthaitha reke njarie rĩngĩ rĩmwe tu na ndũkaraakare
kwa sababu aliwafunza kama mtu aliyepewa mamlaka na Mubgu ,tondu aamarutaga ta mundu waheetwo wathani ni Ngai 
Kwa hivyo Mwenyezi-Mungu akawatawanya mahali duniani pote ,Kwoguo MWATHANI akĩmahurunja thĩ yothe 
na msiwaogope wale wanaoua mili lakini hawawezi kuua moyo .,na mutigetigagire aria moragaga mwiri no matingihota kuuraga muoyo .
Watu hao wengine wawili wakaenda wakiwa wameelekea Sodomu ,Andũ acio angĩ eerĩ magĩthiĩ meerekeire Sodomu 
Anza kwa kutoa borito hili lililoko jichoni pako mwenyewe ,Amba urute rubito ruu ruri riitho riaku mwene 
Lakini  kwa sababu ya mfale kuchukua Sarai mke wa Abramu ,No rĩĩrĩ  nĩ ũndũ wa mũthamaki kuoya Sarai mũtumia wa Aburamu 
kwa maana huwezi geuza unywele mmoja liwe nyeusi au jeupe .,tondu ndungihota kugarura rucuiri rumwe ruire kana rweruhe .
ninakupa mbele ya wananchi wenzangu ili umzike mke wako . ”,Ndakũheera o haaha mbere ya andũ aitũ nĩ geetha ũthike mũtumia waku . ”
Nayo macho yao yakafumbuliwa wakatambua kwamba wako uchi .,Namo maitho maao makĩhingũka  makĩmenya atĩ maarĩ njaga .
Uichukue  ulipe ushuru kwa ajili yangu na kwa ajili yako .,Umioe ukarihe igooti ni undu wakwa na ni undu waku .
hata mimi nitamuaibisha mbele ya Baba yule aliye mbinguni .,o na nii ni ngamumbura mbere ya awa uria uri iguru .
malaika wa Mungu akamzungumzia Hagari kutoka juu akamwambia,mũraika wa Ngai akĩarĩria Hagari kuuma igũrũ akĩmwĩra
Lakini malaika wa Mwenyezi-Mungu akamwita kutoka mbinguni ,no mũraika wa MWATHANI akĩmwĩta kuuma igũrũ 
itapewa kuhani wa Mungu naye ataipeleka kwenye madhabahu .,ĩnengerwo mũthĩnjĩri Ngai naake amĩtware kĩgongoonainĩ .
nimewapa kila mahali pote ambapo mtakanyaga na miguu yenu ,nindimuheete handu o hoothe haria mugaakinya na makinya maanyu 
Binti wa kwanza akajifungua mtoto wa kiume akamwita Moabu ,Mũirĩĩtu ũrĩa mũkũrũ agĩciara kaana ga kahĩĩ agĩgatua Moabi 
Nitawaambia   Mkiwa na imani itoshanayo mbegu ya haradali ,Ngumwira  Mungiri na witikio uigana mbegu ya karatari 
alifariki akiwa na umri wa miaka mia tisa sitini na mbili .,Aakuire e wa mĩaka magana kenda na mĩrongo ĩtandatũ na ĩĩrĩ .
Hivi umekuja kututesa kabla ya wakati ulioamuliwa kufika ? ,Hihi woka gutuherithia mbere ya ihinda riria rituitwo gukinya ? 
Tena hata Sara mwenyewe alisema kuwa Abrahamu ni kaka yake !,o naake mũtumia akiuga atĩ Aburahamu nĩ mũrũ wa nyina !
mtu yule apendaye baba au mama kuniliko hapaswi kuwa wangu .,mundu uria wendete ithe kana nyina kungira ndagiriire gutuika wakwa .
Na wakati mtu yeyote akikosa kuwakaribisha au kuwasikiliza .,Na riria mundu o wothe aaga kumunyita ugeni kana kumuthikiriria .
kwa hivyo msiogope  nyinyi ni wa maana kuliko ndege wengi .,kwoguo-ri mutigetigire  inyui muri a bata gukira tunyoni tuingi .
Mwenyezi-Mungu alikuwa amewazuia watu wa nyumba ya Abimeleki,MWATHANI nĩahingĩĩte andũ a mũciĩ wa Abimeleki
na juu ya matandiko haya ya mawe  nitajenga ushirika wangu ,na iguru ria rwaro ruru rwa ihigani ngaaka kiungano giakwa 
na hivyo nimeshuka ili niwaokoe kutoka kwa watu wa Wamisri .,na kwoguo nĩnjikũrũkĩĩte ndĩmahonokie kuuma kũrĩ andũ a Misiri .
Mtumishi akamsimulia Isaka mambo yote aliyokuwa ameyafanya .,Ndungata ĩgĩkĩĩra Isaaka maũndũ moothe marĩa yekĩĩte .
Yosefu aliamka akamchukua mtoto pamoja na mama yake usiku .,Josefu agĩũkĩra  agĩkĩoya kaana na nyina o ũtukũ .
ukumbuke kuwa kuna jambo hamsikilizani na mwana wa baba yenu,uririkane ati hari undu mutaraiguithania na muru wa ithe wanyu
tamkongonyoa kichwa ikatike  ateketeze kichwa madhabahuni .,amĩthiore ngingo ĩtinĩke  acinĩre mũtwe wayo kĩgongoonainĩ .
Ni shamba lile Abrahamu alikuwa amenunua kutoka kwa Wahiti .,Nĩ mũgũnda ũrĩa Aburahamu aagũrĩĩte kuuma kũrĩ Ahiti .
kwa maana akifanya hivyo  kiraka kile kipya kitaivta nguo ,tondu angika uguo  kiraka kie kieru  kingigucia nguo 
Hakuna mtu ashoneleae kiraka cha nguo mpya juu ya nguo kuu ,Gutiri mundu utumagirira kiraka kia nguo njeru iguru ria nguo nguru 
ama hamkumbuki mikate ile mitano iliyoliwa na watu elfu tano,kana mutiraririkana migate iria itano yariiruo ni andu aria ngiri ithano
mtu aliyekuwa na pepo na hakuwa akizungumza akaletewa Yesu .,mundu wari na ndaimono na utaahotaga kwaria akireheruo Jesu .
Kwa sababu hiyo akamshika mkono  na mwanamke huyo akapona ,Ni undu ucio akimuhutia guoko  na mutumia ucio akihona 
akawaambia wamchukue Abramu na mke wake pamoja na vitu vyote,akĩmeera mooe Aburamu na mũtumia wake o hamwe na indo ciothe
Wacheni kuwahukumu watu wale wengine ili Mungu asiwahukumu ,Tigai gutuagira andu aria angi niguo Ngai ndakanamutuire 
Yaredi alipokuwa na umri wa miaka mia moja sitini na mbili .,Jaredi arĩ wa mĩaka igana na mĩrongo ĩtandatũ na ĩĩrĩ .
lakini ni yule anayetenda mapenzi wa Baba yetu wa mbinguni .,no ni uria wikaga wendi wa Ithe witu wa iguru .
kwa sababu jambo lile limezidi hayo yametoka kwa ule mwovu .,tondu undu uria ukirite macio uumite kuri uria muru .
Hapo pia akajenga madhabahu na kumwomba Mwenyezi-Mungu huko .,O na kũu agĩaka kĩgongoona na agĩthaathaĩria MWATHANI kuo .
Mimi nimefanya nilivyofanya kwa moyo mnyofu na sina hatia . ”,Niĩ ndeekire ũguo na thamiri ĩtarĩ na ũcuuke . ”
vile visima vilivyokuwa vimechimbwa wakati wa babake Abrahamu,ithima iria cienjeetwo hĩndĩ ya ithe Aburahamu
Walianzia na kabila la Reubeni aliyekuwa mzaliwa  wa Yakobo .,Maambĩrĩirio na mũhĩrĩga wa Reubeni ũrĩa warĩ irigithaathi rĩa Jakubu .
Abramu akamjengea Mwenyezi-Mungu aliyemtokea madhabahu hapo .,Aburamu agĩakĩra MWATHANI wamuumĩrĩire kĩgongoona hau .
Mwenyezi-Mungu ametuachia nafasi tuishi huku  na tutastawi .,MWATHANI nĩatũheete wĩyathi tũtũũre gũũkũ  na nĩtũgũgĩtheerema .
mtu yeyote asiyefuata amri hata moja la hayo machache sana na,mundu o wothe utarumagirira riathani o na rimwe ria macio manyinyi muno na
lakini mwana wa Adamu hana pahali pa kuekelea kichwa chake . ,no Muru wa mundu ndari handu ha kuigirira kiongo giake . 
Ikawa jioni  ikawa asubuhi . Hiyo ndio ilikua siku ya tano .,Nakuo gugituka  gugicooka gugikia . Ucio niguo waei muthenya wa gatano .
Watoto wa Ishmaeli mwana wa Abrahamu yule alizaliwa na Hagari,Ciana cia Ishumaeli mũrũ wa Aburahamu ũrĩa aaciarĩirwo nĩ Hagari
Alipotoka hapo  akawaona watu wengine wawili wa mama mmoja ,Oima hau akiona andu angi eri a nyina umwe 
Ikawa jioni  ikawa asubuhi . Hiyo ndio ilikua siku ya tatu .,Gugituka  gugicooka gugikia . Ucio niguo wari muthenya wa gatatu .
kwa maana nimeona wewe peke yako kuwa mwadilifu mbele yangu .,amu nĩnyoneete atĩ no we wiki mũthingu thĩinĩ wa thĩ yothe .
baba yenu wa mbinguni anajua kuwa mnahitaji mambo hayo yote .,ithe wanyu wa iguru ni oi ati ni mubataraga maundu macio mothe .
Abimeleki akawaita watumishi wake akawaeleza vile kulifanyika,Abimeleki agĩĩta njaama ciake agĩciĩra ũrĩa gwekĩkĩĩte 
atachukua konzi moja ya unga huo laini wenye mafuta na ubani ,arũme rũhĩ rũgima rwa mũtu ũcio ũitĩrĩirio maguta na ũbaani 
Lakini siku inakuja vile bwana harusi ataondolewa pamoja nao ,No matuku ni mariuka riria muhikania akeeherio kuri o 
na mtu yeyote atapoteza maisha yake kwa ajili yangu ataiokoa .,na mundu o wothe ukuruo ni muoyo wake ni undu wakwa ni akauhonokia .
Kwa sababu hiyo  endeni mwaze vile maneno haya yanamaanisha ,Ni undu ucio-ri  thiini mugatuirie uria ciugo ici ciugite 
ameki alipokuwa na umri wa miaka mia moja themanini na mbili .,Lameki arĩ wa mĩaka igana na mĩrongo ĩnaana na ĩĩrĩ .
Maji yaliongezeka hadi milima yote ambayo ni mirefu ifunikwa .,Maaĩ nĩmaingĩhire o nginya irĩma ciothe iria ndaaya ikĩhumbĩrwo .
ndivyo maneno yale Yehova alisema kupitia nabii wake yatimie ,niguo ciugo iria Jehova aaririe kugerera munabii wake ihinge 
La hasha! Hakimu wa dunia yote hataacha kutenda yaliyo haki ?,Ũguo ndũngĩĩka ! Na githĩ mũtuanĩri ciira wa thĩ yothe ndaagĩrĩirwo gũtuanĩra na kĩhooto ?
Sasa niko hapa kisimani ambapo mabinti wa mji huja kuteka maji,Rĩu ndĩ haaha gĩthimainĩ kĩrĩa airĩĩtu a itũũra megũũka gũtaha maaĩ
Walawi hawakuhesabiwa majina pamoja na yale makabila mengine ,Alawii matiandĩkanĩirio marĩĩtwa na andũ a mĩhĩrĩga ĩyo ĩngĩ 
Mwenyezi-Mungu alipomaliza kuzungumza na Abrahamu akajiendea ,MWATHANI arĩĩkia kwaria na Aburahamu agĩĩthiĩra 
kufurahi ni wale wanaosihi njaa na kiu kwa maana watashibishwa,gukenari ni aria mahutagira na makanyotera gukoruo ni makaahunio
muda si mrefu wataweza kufanya kitu chochote ambayo watataka !,hinda rĩtarĩ iraaya nĩmarĩhota gwĩka ũndũ o wothe ũrĩa marĩenda !
Wacheni tumwite msichana mwenyewe tusikie vile atakavyosema . ,Reke twĩte mũirĩĩtu tũigue ũrĩa ekuuga . ”
 Ni nani angemwambia Abrahamu kwamba Sara atanyonyesha mtoto ?,“ Nũũ ũngĩerire Aburahamu atĩ Sara nĩakoongithia mwana ?
na kwa hiyo  tukafikiri kuwa ni vyema sisi nawe tufanya agano,na kwoguo  tũgagĩciiria atĩ nĩ wega ithuĩ nawe tũthondeke kĩrĩĩkanĩro
Mwanangu  Mungu mwenyewe atatujalia mwanakondoo wa sadaka . ”,Mũũriũ  Ngai we mwene nĩekũheana ndũrũme ya igongoona . ”
kwa sababu walikatazwa na Mungu ndotoni wasirudi kwa  Herode ,tondu ni maakanirio ni Ngai kiroto-ini matigathii kuri Herode 
ni ajikane na achukue mti wangu wa kudharauliwa na anifuate . ,ni erege na oe muti wake wa kunyaririruo na anumagirire . 
Yakobo akampelekea  akala na hata akampelekea divai akanywa .,Jakubu agĩkĩmũreehere akĩrĩa o na akĩmwĩkĩrĩra ndibei akĩnyua .
ambaye alikuwa mhunzi wa vyombo vyote vya shaba na vya chuma .,ũrĩa warĩ mũturi wa indo ciothe cia gĩcango na cia igera .
Nao watu wakamletea mtu aliyepooza viungo amelazwa kitandani .,Nao andu makimurehera mundu wakuite ciiga akometio kariri-ini .
Ni kwa ajili ya jina langu mtapelekwa kwa magavana na wafalme .,Ni undu wa ritwa riakwa nimugaatwaruo kuri mangavana na athamaki .
kwani chumvi ni ishara ya agano alilofanya Mungu pamoja nanyi .,tondũ cumbĩ ũrũũgamagĩrĩra kĩrĩĩkanĩro kĩrĩa Ngai arĩĩkanĩrĩĩte na inyuĩ.
akaona mtu aliyeitwa Mathayo amekaa ofisini ya kulipia ushuru ,akiona mundu wetagwo Mathayo aikarite wabici-ini ya kurihira igooti 
hutaka kuomba wamesimama sinagogi na njiani waonekane na watu .,mendaga kuhoya marugamite thunagogi-ini na njira niguo monwo ni andu .
na watu wa Misri watakapokuona watadhani kuwa wewe ni mke wangu,na wonwo nĩ andũ a Misiri megwĩciiria atĩ wĩ mũtumia wakwa
kwa maana huifanya jua liwaangazie watu wale waovu na wale wema,tondu atumaga riua riake riarire andu aria oru na aria ega
na kwa hiyo mfalme Abimeleki wa Gerari akasema apelekewe Sara .,na kwoguo mũthamaki Abimeleki wa Gerari akiuga atwarĩrwo Sara .
alipoinua macho yake  akaona watu watatu wamesimama mbele yake,Rĩrĩa ainamũkire  akĩona andũ atatũ marũngiĩ mbere yake
msiape na mbingu kwa maana ndiko kiti cha ukuu cha Mungu kiliko,mutikanehite na iguru tondu nikuo giti kia unene kia Ngai kiri
na hii na ndio ishara yangu kuonyesha kuwa ni mimi nimekutuma ,na rũũrũ nĩruo rũũri rwa konania atĩ nĩ niĩ ndagũtũma 
Likitenda hivyo litanionesha kwamba umemfadhili bwana wangu . ”,Kũngĩkĩka ũguo nĩngũmenya atĩ nĩũtugĩĩte mũnene wakwa . ”
nani amewaambia kuwa mwaweza kuikimbia  hasira ambayo inakuja ?,nu umwirite ati no muurire marakara  maria maroka ?
ambavyo vilichimbwa na watumishi wa Abrahamu wakati aliku hai .,iria cienjeetwo nĩ ndungata cia ithe Aburahamu e muoyo .
nao wale walikaa kivulini kile kiletacho kifo mwanga ukawafikia,nao aria maikaraga kiiruruini kiria kirehaga gikuu utheri ukimarira
Sethi alifariki akiwa na umri wa miaka mia tisa kumi na mbili .,Aakuire e wa mĩaka magana kenda na ikũmi na ĩĩrĩ .
Kama sadaka unayotoa ni ya mikate iliyopikwa katika kikaangio ,Angĩkorwo igongoona rĩrĩa rĩrarutwo nĩ rĩa mĩgate ĩrugĩĩtwo na rũgĩo-rĩ 
kwa sababu hufanya jua lake liwaangazie watu waovu na wale wema,tondu atumaga riua riake riarire andu aria oru na aria ega
Unaweza kumletea Mwenyezi-Mungu mazao yako ya kwanza ya vyakula,Mwahota nĩkũrutagĩra MWATHANI magongoona ma maciaro ma mbere ma irio iria
au hata Yerusalemu  kwa maana ndilo mji la Mfalme yule mkuu . ,o na kana na Jerusalemu  tondu nirio ituura ria Muthamaki uria munene . 
kwa maana alipenda kula nyama ya mwituni ambayo Esau aliwinda ,amu nĩakenagio nĩkũrĩa nyama cia nyamũ iria Esau aagwĩmaga 
nitarudi kumrudisha mwanao nimrudishe mwanao nchi uliyotoka ? ”,nĩgũcookia ngacookia mũũrũguo bũrũriinĩ ũcio woimire ? ”
Akaiweka mianga hiyo katika anga ili yafanye nchi kuwe na nuru ,Agikiiga mootheri macio matuine iguru niguo matumage thi kugie na utheri 
Kwa sababu hiyo  tafuteni ufalme wa Mungu kwanza na haki yake ,Ni undu ucio-ri caragiai Uthamaki wa Ngai mbere na uthingu wake 
Naye Yesu akimwira  Kufurahi  ni wewe Simioni mwana wa Yohana ,Nake Jesu akimwira Gukena-ri niwe Simoni muru wa Jona
Vile Mfalame Herode na watu wa Yerusalelmu wote waliskia hivyo ,Riria Muthamaki Herode na andu a Jerusalemu othe maaiguire uguo 
Wakamwacha Rebeka waende na mtumishi wa Abrahamu na watu wake .,Magĩkĩreka Rebeka  mathiĩ na ndungata ya Aburahamu na andũ ake .
Wakati Mungu aliponifanya nihame nyumba ya baba niende ugenini ,Rĩrĩa Ngai aatũmire thaame kwa baaba thiĩ bũrũri mũgeni 
Wanyama wote na ndege nimewapa nyasi ma mimea yenye mabawa ile .,Nyamu ciothe na nyoni ndacihe nyeki na mimera iria i mathagu iriage .
Majina ya wana wa Yakobo ambao walikwenda Misri pamoja na yeye ,Marĩĩtwa ma aariũ a Jakubu arĩa maathiire Misiri hamwe naake 
aniuzie pango la Makpela lililo karibu na mpaka wa shamba lake .,anyenderie ngurunga ya Makipela ĩrĩa ĩ hakuhĩ rũteereinĩ rwa mũgũnda wake .
Kwa kuwa mtu yeyote atakaye kuokoa nafsi yake atapotelewa nayo ,Ni gukoruo mundu o wothe wendaga kuhonokia muoyo wake ni akooruo niguo 
ambaye hajasahau fadhili zake na uaminifu wake kwa bwana wangu .,o we ũhingĩĩtie kĩĩranĩro gĩake na wĩhokeku wake harĩ mũnene wakwa .
Naye binti ule mdogo alijifungua mtoto wa kiume akamwita Ben-ami,Naake mũirĩĩtu ũrĩa mũnyiinyi nĩaciarire kaana ga kahĩĩ agĩgatua Benami
Mwenyezi-Mungu aliskia harufu nzuri ya sadaka hiyo ikampendeza ,MWATHANI nĩaiguire mũtararĩko ũcio wamũkenia 
mvulana huyo alizaliwa kama vile Mungu alisema kuwa angezaliwa .,Kahĩĩ kau gaaciarirwo o rĩrĩa Ngai oigĩĩte atĩ nĩgagaaciarwo .
Naye Mwenyezi-Mungu akakubali ombi lake  Rebeka akapata mimba .,Naake MWATHANI akĩigua mahooya maake Rebeka akĩgĩa nda .
kuliko kutupwa ndani ya moto wa Jehanamu ukiwa na macho mawili .,gukira ugaikio thiini wa mwaki wa Jehanamu uri na maitho meri .
kwa maana kumeandikwa hivi atawaamuru malaika wake habarini yako,tondu  ni kwandike uu ni agaatha araika ake uhoroini waku
na awe kama mtu wa mataifa au mtoza fedha za ushuru kwako wewe .,ni atuike o ta mundu wa nduriri kana mwitia wa mbeca cia igooti hari wee .
Tokeni katika safina  wewe na mke wako  na wanao na wake zao .,Umaai thabinainĩ  wee na mũtumia waku  na aariũ aaku na atumia aao .
nitawaambia kuwa ikiwa yenu haijazidi ya waandishi na mafarisayo,ngumwira atiri angikoruo wanyu ndukirite wa andiki watho na afarisai
Esau akafahamu kwamba wanawake wa Kanaani hawapendwi na babake .,Esau agĩkĩmenya atĩ atumia aake Akanaani matiendeetwo nĩ ithe .
lakini nitawaambieni kuwa mtu yeyote akaaye amekasirikia nduguye,no ngumwira ati mundu wothe uikaraga arakariire muru wa ithe
Nao wana wa Waisraeli wakazidi kuongezeka na kuwa na nguvu sana.,Nao andũ a Isiraeli magĩthiĩ na mbere kuongerereka na kũgĩa na hinya.
Akubariki pamoja na wazawa wako kama vile alivyombariki Abrahamu,Arokũraathima o hamwe na njiarwa ciaku o ta ũrĩa aaraathimire Aburahamu
Ikawa jioni  ikawa tena mchana . Hiyo ndio ilikua siku ya nne .,Nakuo gugituka  gugicooka gugikia . Ucio niguo wari mutenya wa kana .
Wakati huo wanaunzi wa Yesu wakaja hadi kwake wakamuuliza kuwa ,Hindi o iyo arutwo a Jesu magiuka hari we makimuuria atiri 
yule apokeae nabii kwa sababu ni nabii atapewa zawadi ya unabii .,uria wamukagira munabii tondu ni munabii akaaheo kiheo kia munabii .
Tujijengee mji ulio na mnara ambao kilele chake kitafika mbinguni,Rekeei twake itũũra rĩ na mũnaara ũrĩa gacũmbĩrĩ kaaguo gekũhuutia matu
lakini mtu yeyote atakayepoteza nafsi kwa sababu yangu atauokoa .,no mundu o wothe ukuruo ni muoyo wake ni undu wakwa ni akauhonokia .
mtu atafaidika vipi akipata dunia yote kisha apoteze nafsi yake ?,mundu angigunika atia angiigwatira thi yothe acoke aruo ni muoyo wake ?
Akasafiri kwenda katika mji alimokaa Nahori nchini Mesopotamia .,ĩgĩthiĩ itũũra rĩrĩa Nahori aatũũraga mwena wa na rũgongo wa Mesopotamia .
ili waone matendo yenu mema na wakamsifu Baba yenu aliye mbinguni,niguo monage ciiko cianyu njega na makagooca ithe wanyu wa iguru
Maji yakaendelea kupungua polepole kwa siku mia moja na hamsini .,Maaĩ nĩmaathiire makĩhũaga o kahora ihinda rĩa mĩthenya igana na mĩrongo ĩtaano .
wanawe hao waatu wa Noa ndio baba za watu wote ambao wako duniani,Aariũ acio atatũ a Noa nĩ o maithe ma andũ oothe arĩa me thĩ
Kwa maana mambo haya yote ndio watu wa dunia huyafuata na bidii .,Tondu maundu macio mothe nimo andu a thi mathingataga na kiyo .
Wakati huo kabila la Wakanaani walikuwa ndio wenyeji wa nchi hiyo,Hĩndĩ ĩyo rũriiri rwa Akanaani nĩruo rwatũũraga bũrũri ũcio
' Ningependa mwe mkionyesha huruma lakini si kunitolea sadaka . ','Ngwenda muonanagie tha no ti mundutagire magongona . '
na kutoka kwa Daudi hadi wakati wa kupelekwa uhamishoni Babilioni,na kuuma hari Daudi nginya hindi ya gutwaruo  ithamirio Babuloni
ili waone matendo yenu mema na wakamsifu Baba wenyu wa mbinguni .,niguo monage ciiko cianyu njega na makagooca Ithe wanyu wa iguru .
hudhani kuwa watasikika na Mungu kwa ajili ya maneno yao kuzidi .,meciragia ati ni mekuiguo ni Ngai ni undu wa ciugo ciao kuingiha.
kufurahi ni wale watafutao amani kwa maana wataitwa wana wa Mungu,gukenari ni aria macaragia thayu ni gukoruo ni magetwo ariu a Ngai
Nao wanafunzi wakaenda kwa Yesu pasipo watu wengine wakamuuliza ,Nao arutwo magithii hari Jesu hatari andu angi makimuuria 
Watu wa Misri wakawateua wanyapara wakuwanyanyasa na kazi ngumu ,andũ a Misiri makĩmaigĩra anyabaara akũmahinyĩrĩria na mawĩra maritũ 
kwamba hutatufanyia mabaya kama vile sisi hatukukutendea mabaya .,atĩ ndũgaatwĩka ũũru o ta ũrĩa ithuĩ tũtaagwĩkire ũũru .
Na mtu akitaka kukupeleka kortini ili aitwae nguo yako ya ndani ,Na mundu angienda gugutwara igooti-ini niguo oe nguo yaku ya thiini 
 Kwani umekuja kwangu mimi na mimi ninapaswa kubatizwa na wewe ? ,Kai wagiuka kuri nii na ni nii ndirabatara kubatithio niwe ? 
njiwa hakuona mahali pa kutua  kwa maana maji bado yamejaa nchini,ndutuura ndĩonire gwa kũũmba  tondũ maaĩ no maiyũrĩĩte thĩ 
wakaanza kuelezana   Ni kwa sababu hatujabeba mkate hata mmoja  .,makiambiriria kwirana   Ni undu tutinakuua mugate o na umwe  .
Kisha mtu huyo akimaliza kumkatakata vipandevipande mnayama huyo ,Mũndũ ũcio arĩĩkia gũtinangia nyamũ ĩyo icunjĩ 
Sehemu inayobaki ya sadaka hiyo ya unga iwe ya makuhani wa Mungu ,Kĩrĩa gĩgũtigara kĩa igongoona rĩu rĩa mũtu gĩtuĩke gĩa athĩnjĩri Ngai 
na mtu yeyote atakayesikia habari hizi atacheka pamoja na mimi . ”,na mũndũ o wothe ũrĩiguaga ũhoro ũyũ nĩarĩthekaga hamwe na niĩ . ”
Lakini alikuwa na mjakazi msichana aliyeitwa Hagari kutoka Misri .,no nĩarĩ na ndungata ya mũirĩĩtu ya kuuma Misiri yetagwo Hagari .
watoto wote wa wavulana wa miaka miwili na kurudi chini  wauawe .,twana tuothe twa tũhĩĩ twa mĩaka ĩĩrĩ gũcooka na thĩ  tũũragwo .
Wote walikua watu elfu mia sita na tatu  na mia tano na hamsini .,Oothe maarĩ andũ ngiri magana matandatũ na ithatũ na magana mataano na mĩrongo ĩtaano .
Kwa hivyo mti ule usiozaa mazao mazuri hukatwa na kutupwa motoni .,Kwoguo muti uria utaraciaraga maciaro mega ni ugutemwo na uikio mwaki-ini .
na chochote utafungua huku duniani kitakuwa kimefunguliwa mbinguni,na kiria giothe ukohora guku thi gigaakoruo kiohoretwo iguru
kiwa mtu atamtolea Mwenyezi-Mungu sadaka ya kuteketezwa ya ndege ,Angĩkorwo mũndũ araruta mĩthemba ya nyoni ta igongoona rĩa njino-rĩ 
Naye Herode  alipogundua kuwa amedanganywa na mamajusi wa nyota ,Nake Herode amenya ati ni aaheenirio ni atuiria a njata 
tena mkiwasalimu wana wa Baba yenu ni jambo lipi la pekee mmefanya,ningi mungigeithia ariu a ithe wanyuri ni undu uriku wa mwanya mweka
Kuna mambo mabaya watu wa SOdomu na wa Gomora Wameambiwa wamefanya,Kũrĩ na maũndũ mooru andũ a Sodomu na a Gomora meerĩĩtwo nĩmeekĩĩte 
Usiku mmoja Mungu akamjia mfalme Abimeleki katika ndoto akamwambia,Ũtukũ ũmwe Ngai akiumĩrĩra mũthamaki Abimeleki kĩrootoinĩ akĩmwĩra
Nimekukosea nini hata ukaniletea balaa hili mimi na ufalme wangu ?,Nĩ ũũru ũrĩkũ ngwĩkĩĩte wa gũtũma ũndeehithĩrie niĩ na bũrũri ũyũ njathaga mũthiro ta ũyũ ?
kwa sababu mimba hiyo aliyo nayo imesababishwa na roho mtakatifu .,tondu nda iyo ari nayo yumanite na roho mutheru .
wale waliokua na kifafa na wakupooza vingo vingine naye akawaponya,aria maari na kibaba na maakuite ciiga imwe nake akimahonia
Abrahamu alikwenda mahali alipokuwa wamesimama na Mwenyezi-Mungu .,Aburahamu akĩrooka harĩa marũũgamĩĩte na MWATHANI .
akifundishana sinagogini zao akihubiiri habari ile njema wa ufalame,akirutanaga thunagogiini ciao akihunjagia uhoro uria mwega wa uthamaki
